Cenário,Métrica,XGBoosting,Random Forest,Support Vector Regression,Linear Regression
"14, 79, 0",MAPE,0.22562424677017498,0.24247405451826706,0.22552514645435556,0.228476954781167
"14, 79, 0",RMSE,871.3756982127179,881.70252485621,920.245245830983,916.1170204734616
"14, 79, 0",RRSE,0.9517175152453429,0.9629964868917555,1.0050928899841785,1.0005840376169512
"14, 79, 1",MAPE,0.23180980798640177,0.23386769936816107,0.22542482717115475,0.22193955699165221
"14, 79, 1",RMSE,891.109350659302,886.7004261406048,920.3730458862465,893.8687113117593
"14, 79, 1",RRSE,0.9732187933842541,0.9684036175620789,1.005178931764196,0.9762324096623347
"14, 79, 2",MAPE,0.22807189312554776,0.24187918539635458,0.22562959384286205,0.21831325419455128
"14, 79, 2",RMSE,890.0102482842384,891.6715279864118,920.395066547214,888.7291022326295
"14, 79, 2",RRSE,0.9718746617217408,0.9736887483029779,1.005054318953481,0.9704756740270223
"14, 79, 3",MAPE,0.22841988030620936,0.24355618752843405,0.225753337686969,0.21673059083530605
"14, 79, 3",RMSE,893.3688162351926,894.2275524790541,920.5577749126619,887.7998452682776
"14, 79, 3",RRSE,0.9753259037333968,0.9762634198945747,1.0050091602023483,0.9692460389088566
"28, 65, 0",MAPE,0.22172285793626187,0.23016448227462663,0.22386614352577988,0.23089745889543942
"28, 65, 0",RMSE,887.5036895787558,883.1088186611436,911.1142381455309,910.0891220160179
"28, 65, 0",RRSE,0.9763912668273292,0.9715562293698242,1.0023665204474528,1.0012387342217806
"28, 65, 1",MAPE,0.2300541678471173,0.23050169999147438,0.22387806419185138,0.2235506578535386
"28, 65, 1",RMSE,884.3051011399757,877.8211523071178,911.2490741790186,887.0316843518152
"28, 65, 1",RRSE,0.9727478313872276,0.9656153980699725,1.0023865740665319,0.975747110598659
"28, 65, 2",MAPE,0.22774626341241203,0.229470017227775,0.22389226028369513,0.22044008066879134
"28, 65, 2",RMSE,883.4247467112468,879.4998927440371,911.4762767975652,879.1984118197323
"28, 65, 2",RRSE,0.9715663756254141,0.9672499285732162,1.0024166812322808,0.9669183680978736
"28, 65, 3",MAPE,0.22968012638218782,0.232966480777008,0.22406782134238654,0.2189668076007121
"28, 65, 3",RMSE,884.5318706985457,877.4069457026036,911.7939176467888,876.7539616408865
