Descrição,Métrica,XGBoosting,Random Forest,Linear Regression
Primeira execução,RRSE,0.9774835759541218,0.9961467447066037,1.0076720195224023
Primeira execução,MAPE,0.24087418998166102,0.2524891388559491,0.22150027759041008
Primeira execução,Tempo,0.954194,1.899841,0.2581
Teste Clima,RRSE,0.9741492810353677,0.9818534340263294,1.0051216627664927
Teste Clima,MAPE,0.2390908566717386,0.2455245386333622,0.22533254684809412
Teste Clima,Tempo,0.927196,1.635922,0.3
Teste Tempos 1,RRSE,0.9691222751753616,0.9700280359656943,0.9732500666455918
Teste Tempos 1,MAPE,0.2110252677092281,0.24358530834247072,0.21494024248014565
Teste Tempos 1,Tempo,0.914041,2.258527,0.2971
Teste Tempos 2,RRSE,0.9606897372934411,0.9679142635179934,0.9654077515508571
Teste Tempos 2,MAPE,0.23231647930998087,0.25225353066471745,0.21323552828092898
Teste Tempos 2,Tempo,0.934183,2.493692,0.3001
Teste Tempos 3,RRSE,0.9631254497091083,0.9668930445289626,0.9682238550481062
Teste Tempos 3,MAPE,0.2393788546357081,0.2556137968520904,0.2146638587213949
Teste Tempos 3,Tempo,0.958031,2.651889,0.2001
Teste Tempos 4,RRSE,0.9635349376683069,0.9528944133837639,0.9672700146093978
Teste Tempos 4,MAPE,0.2307998807489648,0.2395446421110775,0.21362166722287973
Teste Tempos 4,Tempo,0.953,3.617496,0.3001
Teste Intervalos 14 79,RRSE,0.9586943416899577,0.9887419786021362,1.000584037601032
Teste Intervalos 14 79,MAPE,0.22970520868706576,0.2632724537967996,0.22847695479927685
Teste Intervalos 14 79,Tempo,0.421968,0.956874,0.2031
Teste Intervalos 28 65,RRSE,0.9763912675607496,0.9872951977407199,1.0012387342194604
Teste Intervalos 28 65,MAPE,0.22172286083865547,0.24680453044026424,0.2308974589016261
Teste Intervalos 28 65,Tempo,0.539047,1.200707,0.2999
Teste Intervalos 42 51,RRSE,0.9613961899838598,0.9634997587688962,1.0095627100819486
Teste Intervalos 42 51,MAPE,0.19162796368778695,0.1931272553404672,0.21761705470954953
Teste Intervalos 42 51,Tempo,0.699105,1.512868,0.2
Teste Intervalos 56 37,RRSE,0.9534171014492144,0.9505952035799934,1.0142863829382782
Teste Intervalos 56 37,MAPE,0.2087374654630002,0.24540375471323045,0.21614438948956827
Teste Intervalos 56 37,Tempo,0.877092,1.819735,0.2
Teste Intervalos 70 23,RRSE,0.9388372874129418,0.9427853607558753,0.9970976995197696
Teste Intervalos 70 23,MAPE,0.21430002443674237,0.260352377905742,0.22769125402147455
Teste Intervalos 70 23,Tempo,0.989649,2.73547,0.3001
