tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,predicao_xgb,predicao_lr,predicao_rf
1187,1,1569837151,1,2,1173.7931,1129.863142849219,1183.38
1020,1,1569836420,1,2,1040.3092,1129.8743371005985,1032.125
978,1,1569835678,1,2,1017.7683,1129.8856998017254,1004.08
1072,1,1569835315,1,2,1033.5574,1129.8912586433835,1044.145
1019,1,1569835168,1,2,1033.5574,1129.89350974455,1024.04
950,1,1569834711,1,2,948.7734,1129.9005080658608,944.585
883,1,1569834311,1,2,928.379,1129.9066335112147,912.86
895,1,1569833509,1,2,928.379,1129.9189150291422,920.64
984,1,1569832861,1,2,945.30475,1129.928838250613,952.25
905,1,1569832621,1,2,935.7885,1129.9325135178224,921.015
974,1,1569831965,1,2,962.6937,1129.9425592481966,890.215
701,1,1569831384,1,2,759.7256,1129.9514564575693,742.435
722,1,1569831019,1,2,759.7256,1129.9570459264542,750.1
721,1,1569830338,1,1,713.11383,1041.7911783476375,718.37
695,1,1569829777,1,1,701.9458,1041.799769284742,708.1
734,1,1569828245,1,1,739.5266,1041.8232297404356,725.65
785,1,1569814860,1,1,770.49445,1042.028202455498,771.95
758,1,1569813344,1,1,763.0019,1042.0514178933809,760.34
888,7,1569811897,1,4,864.2546,1211.9736619047544,876.025
798,7,1569810448,1,4,864.2546,1211.9958513305355,850.45
1011,7,1569809275,1,4,961.9412,1212.0138141990283,955.82
863,7,1569808251,1,4,937.7144,1212.0294953391276,921.31
1102,7,1569806874,1,4,1042.6847,1212.050582184751,1048.78
997,7,1569805636,1,4,1008.037,1212.0695404381113,973.855
877,7,1569804668,1,4,952.74243,1212.08436401586,938.095
1100,7,1569803384,1,4,1106.8531,1212.104026695437,1094.55
1154,7,1569802142,1,4,1132.6405,1212.1230462032545,1169.01
1252,7,1569800852,1,4,1132.6405,1212.1428007645118,1204.685
1133,7,1569799623,1,4,1132.6405,1212.1616211953515,1146.61
1147,7,1569798702,1,4,1132.6405,1212.175725033274,1139.115
1084,7,1569797295,1,4,1132.6405,1212.1972712872957,1067.645
999,7,1569796229,1,4,1132.6405,1212.2135955991544,1036.4
1195,7,1569795016,1,4,1132.6405,1212.2321710121832,1144.68
1052,7,1569793721,1,4,1132.6405,1212.2520021415075,1147.755
1424,7,1569792293,1,4,1175.1008,1212.2738699814108,1285.53
1068,7,1569791222,1,4,1076.9141,1212.29027086134,1141.35
1102,7,1569790073,1,3,1111.512,1124.1315700535852,1103.745
1080,7,1569788802,1,3,1111.512,1124.1510336561878,1085.52
1031,7,1569787611,1,3,1111.512,1124.1692721697182,1098.505
1543,7,1569786127,1,3,1328.3995,1124.191997571972,1388.74
1123,7,1569785137,1,3,1158.9296,1124.2071580492156,1147.625
970,7,1569784206,1,3,1135.9795,1124.2214150232721,1075.665
1556,7,1569782653,1,3,1333.9088,1124.2451970648472,1409.795
1288,7,1569781654,1,3,1259.5387,1124.2604953646114,1223.665
930,7,1569780595,1,3,1099.0575,1124.2767124811799,1065.895
1282,7,1569779118,1,3,1218.9354,1124.2993306881363,1217.245
1115,7,1569778127,1,3,1193.8854,1124.3145064789933,1169.7
1332,7,1569775732,1,3,1226.4354,1124.3511825830356,1282.48
1211,7,1569774534,1,3,1212.5148,1124.3695282918598,1234.015
1139,7,1569773243,1,3,1197.0458,1124.3892981667304,1167.71
1188,7,1569771041,1,3,1197.0458,1124.4230187433895,1201.725
1276,7,1569769712,1,3,1257.6451,1124.4433705355696,1243.085
1237,7,1569767371,1,2,1119.7861,1036.3029235549548,1183.54
1106,7,1569766141,1,2,1106.6815,1036.3217592994115,1134.415
1133,7,1569764636,1,2,1106.6815,1036.3448062875432,1112.265
1037,7,1569763579,1,2,1036.5137,1036.3609927768848,1045.095
899,7,1569761215,1,2,952.89496,1036.3971941589116,916.25
896,7,1569758797,1,2,952.89496,1036.4342224760585,952.705
1137,7,1569757567,1,2,1020.3056,1036.4530582205116,1066.25
948,7,1569756417,1,2,959.4996,1036.470668875896,951.755
883,7,1569755305,1,2,959.4996,1036.4876976139712,915.595
949,7,1569753709,1,2,959.4996,1036.5121381409226,950.445
980,7,1569752727,1,2,959.4996,1036.527176109259,967.435
