tempo_viagem,dia_semana,partidaTimeStamp,tipo_dia,turno_dia,hora_dia,predicao_xgb,predicao_lr,predicao_rf,Descricao Chuva,Calor,predicao_xgb_clima,predicao_lr_clima,predicao_rf_clima,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,predicao_xgb_1,predicao_lr_1,predicao_rf_1,predicao_xgb_2,predicao_lr_2,predicao_rf_2,predicao_xgb_3,predicao_lr_3,predicao_rf_3,predicao_xgb_4,predicao_lr_4,predicao_rf_4,predicao_xgb 14 79,predicao_rf 14 79,predicao_lr 14 79,predicao_xgb 28 65,predicao_rf 28 65,predicao_lr 28 65,predicao_xgb 42 51,predicao_rf 42 51,predicao_lr 42 51,predicao_xgb 56 37,predicao_rf 56 37,predicao_lr 56 37,predicao_xgb 70 23,predicao_lr 70 23,predicao_rf 70 23
680,2,1569901228,1,1,0,831.876,978.7082717748472,837.0775816508293,0,1,841.11633,1026.6360943266789,881.7750778186302,950.0,932.0,1063.0,930.0,1066.2057,1141.1150509092972,1085.9142664021658,1033.4553,1083.7813000163171,1034.9359616291615,1047.3062,1094.9090111064654,1034.687693760052,1047.9202,1080.8393353494116,1028.061126158625,861.5362,889.263890969553,695.3435524576344,865.9929,932.9464264943432,856.5653885755128,843.98517,856.2181610888222,1004.378034920519,842.73254,859.6930137920519,981.4780626357752,1069.5338,985.1567968092696,950.637700754267
849,2,1569899787,1,1,0,831.876,978.7039180573238,837.0775816508293,0,1,841.11633,1026.633915207187,881.7750778186302,1055.0,950.0,932.0,1063.0,1105.8563,1190.3981891787885,1137.2326268460024,1037.7205,1120.0081615627266,1069.405877256289,1027.2926,1089.611186040329,1051.6906688515846,1057.3151,1102.5366696317597,1062.4460861302484,861.5362,889.263890969553,695.3169018753833,865.9929,932.9464264943432,856.5555642908512,843.98517,856.2181610888222,1004.3860196640672,842.73254,859.6930137920519,981.4817957034792,1069.5338,985.1600058136792,950.637700754267
852,2,1569898845,1,1,0,831.876,978.7010719768878,837.0775816508293,0,1,841.11633,1026.6324906891011,881.7750778186302,1428.0,1055.0,950.0,932.0,1149.5791,1394.9318178301864,1172.77920842477,1097.4883,1286.584727813484,1136.9248196260864,1093.3816,1218.8507730578324,1124.889798303395,1089.9971,1181.5117923821044,1098.8628287619233,861.5362,889.263890969553,695.254446257255,865.9929,932.9464264943432,856.5325410876285,843.98517,856.2181610888222,1004.4047319041638,842.73254,859.6930137920519,981.490544144648,1069.5338,985.1675261129376,950.637700754267
824,1,1569898009,1,4,23,1042.1201,1373.6198772477846,1128.8752435807946,0,1,1021.69055,1371.491566660252,1077.0391647858742,986.0,1428.0,1055.0,950.0,1098.9537,1152.560544387225,1133.800038158463,1090.694,1259.2910675808046,1190.6248629005097,1088.928,1219.9268580082403,1138.3402346491905,1106.0741,1181.5589207059952,1091.7295680540085,810.2577,834.1538739649565,767.1639202720398,805.9319,859.0659997549105,925.8917138253346,821.0522,847.0522351070241,1075.2806322631986,816.3229,810.9858285881518,1049.6803808858313,1042.1276,1050.57206790276,908.3108362394725
993,1,1569897014,1,4,23,1042.1201,1373.6168710375578,1128.8752435807946,0,1,1021.69055,1371.490061994121,1077.0391647858742,1086.0,986.0,1428.0,1055.0,1105.8563,1207.3944786869288,1140.41313503304,1060.0244,1143.1769761233293,1077.646194442421,1147.6532,1224.4691895543172,1174.578671902559,1159.9327,1203.169401864352,1201.7747915869477,819.3227,857.4127839914757,785.1944723012275,846.77435,903.6554953765616,943.2511122134638,866.64374,933.9121309324483,1092.9836731115174,866.8053,933.5631517834684,1066.7203904139478,1092.4015,1066.9167995063426,963.9944246387562
1573,1,1569895674,1,4,23,1042.1201,1373.612822473032,1128.8752435807946,0,1,1021.69055,1371.488035609583,1077.0391647858742,1287.0,1086.0,986.0,1428.0,1142.4037,1317.6116391356754,1147.563035123603,1086.4095,1247.7875238094573,1127.0114881484644,1073.6638,1197.8070471613526,1104.251396864947,1127.7186,1259.5100948241948,1122.3463217183237,819.3227,857.4127839914757,785.1692333870596,846.77435,903.6554953765616,943.2418083162702,866.64374,933.9121309324483,1092.9912349071749,866.8053,933.5631517834684,1066.7239257429137,1092.4015,1066.9198385313855,963.9944246387562
930,1,1569895276,1,4,23,1042.1201,1373.6116199889411,1128.8752435807946,0,1,1021.69055,1371.4874337431309,1077.0391647858742,956.0,1287.0,1086.0,986.0,1163.5135,1127.8151984699252,1116.3551549725212,1150.5856,1193.8515819337283,1159.9634800485694,1146.8019,1177.6020468113395,1163.709434414068,1131.9318,1153.032367637085,1131.55247623258,819.3227,857.4127839914757,785.1534911490598,846.77435,903.6554953765616,943.2360052075128,866.64374,933.9121309324483,1092.9959514170075,866.8053,933.5631517834684,1066.7261308294546,1092.4015,1066.9217340588702,963.9944246387562
1063,1,1569894358,1,4,22,1071.2651,1356.9656450102975,1210.923359943666,0,1,1050.749,1357.0476642181268,1094.7826817446871,1262.0,956.0,1287.0,1086.0,1207.1106,1295.6091153762154,1148.8989529979876,1171.3179,1187.861975493725,1201.1141681120798,1207.819,1223.6032270309563,1224.6513072915511,1203.1765,1209.2550323749883,1224.6206285180235,819.3227,857.4127839914757,785.1267550111661,846.77435,903.6554953765616,943.226149384216,866.64374,933.9121309324483,1093.0039617937618,866.8053,933.5631517834684,1066.729875881325,1092.4015,1066.924953365059,963.9944246387562
932,1,1569893423,1,4,22,1071.2651,1356.9628200790803,1210.923359943666,0,1,1050.749,1357.046250285632,1094.7826817446871,990.0,1262.0,956.0,1287.0,1171.5618,1146.4567452216295,1134.104034800928,1154.8304,1197.2120163285429,1160.0472360590038,1126.0233,1149.5178269838989,1139.64275564932,1192.0107,1190.4948481636711,1183.0497254600496,819.3227,857.4127839914757,785.0995910950587,846.77435,903.6554953765616,943.2161358677477,866.64374,933.9121309324483,1093.012100336542,866.8053,933.5631517834684,1066.733680854024,1092.4015,1066.9282241801484,963.9944246387562
950,1,1569892805,1,4,22,1071.2651,1356.9609529052914,1210.923359943666,0,1,1050.749,1357.0453157291806,1094.7826817446871,1734.0,990.0,1262.0,956.0,1253.201,1554.427713230958,1193.728932821339,1193.8837,1364.8405094418647,1204.5770628645591,1236.7374,1351.1130822091084,1232.336286731641,1222.7811,1288.181273473891,1236.4601276603444,819.3227,857.4127839914757,785.080982743093,846.77435,903.6554953765616,943.2092762147332,866.64374,933.9121309324483,1093.0176755587636,866.8053,933.5631517834684,1066.7362874101254,1092.4015,1066.9304648172556,963.9944246387562
1055,1,1569891992,1,4,22,1071.2651,1356.9584965747244,1210.923359943666,0,1,1050.749,1357.0440862884127,1094.7826817446871,1131.0,1734.0,990.0,1262.0,1182.8837,1223.771998364653,1164.8408537112002,1214.9896,1408.0111547624076,1223.2072346730124,1194.4498,1312.8134601402037,1204.5583377388486,1252.6979,1314.8057875656546,1261.995354909062,907.4978,965.7161244992254,803.1578203742247,926.7682,1002.7354462442064,960.5857370041484,961.53406,988.4804272130698,1110.706848842845,971.07385,1053.1613089223,1083.7698135044466,1229.5424,1083.269623157964,1268.9919620479818
1428,1,1569891037,1,4,21,1094.6715,1340.3124098073586,1217.78951938225,0,1,1070.3533,1342.6042608109994,1133.0910268803152,1127.0,1131.0,1734.0,990.0,1182.8837,1221.5780086043624,1163.3919646489587,1169.0953,1200.408106868735,1159.1181838853852,1208.7853,1337.6152067463845,1183.082294105766,1193.0303,1275.600142787307,1172.584941944341,907.4978,965.7161244992254,803.0881353044097,926.7682,1002.7354462442064,960.5600487863084,961.53406,988.4804272130698,1110.7277270888153,971.07385,1053.1613089223,1083.779574607639,1229.5424,1083.2780139576162,1268.9919620479818
986,1,1569890734,1,4,21,1094.6715,1340.3114943483642,1217.78951938225,0,1,1070.3533,1342.6038026061376,1133.0910268803152,1319.0,1127.0,1131.0,1734.0,1356.0413,1318.5681734203995,1294.8129967140326,1270.4829,1259.590618940926,1263.847024012132,1225.0,1237.8858255686348,1251.4414918262762,1267.2329,1345.7683006438074,1300.3037610025458,907.4978,965.7161244992254,803.0601586097182,926.7682,1002.7354462442064,960.5497356528105,961.53406,988.4804272130698,1110.736109147052,971.07385,1053.1613089223,1083.783493429915,1229.5424,1083.2813826396132,1268.9919620479818
1086,1,1569889926,1,4,21,1094.6715,1340.3090531243815,1217.78951938225,0,1,1070.3533,1342.6025807265055,1133.0910268803152,1402.0,1319.0,1127.0,1131.0,1395.0648,1364.080115798199,1293.2381975629644,1401.7448,1354.3230187856386,1324.8272511460575,1344.3608,1306.8698359853167,1312.999087266233,1299.2695,1284.0418911801237,1308.7754266528389,907.4978,965.7161244992254,803.0323530262976,926.7682,1002.7354462442064,960.5394855965824,961.53406,988.4804272130698,1110.7444399388733,971.07385,1053.1613089223,1083.7873882838612,1229.5424,1083.28473071805,1268.9919620479818
1287,1,1569889271,1,4,21,1094.6715,1340.3070741618712,1217.78951938225,0,1,1070.3533,1342.6015902176457,1133.0910268803152,1508.0,1402.0,1319.0,1127.0,1422.2031,1422.2049155947834,1320.032436387736,1441.2751,1419.8399425648502,1364.9433405137088,1451.6011,1401.209496103172,1404.06195291852,1385.5563,1356.6643559183751,1393.2999070382527,907.4978,965.7161244992254,803.0259363532095,926.7682,1002.7354462442064,960.537120198991,961.53406,988.4804272130698,1110.746362429294,971.07385,1053.1613089223,1083.7882870963094,1229.5424,1083.285503351536,1268.9919620479818
956,1,1569888622,1,4,21,1094.6715,1340.305113327261,1217.78951938225,0,1,1070.3533,1342.600608782149,1133.0910268803152,1388.0,1508.0,1402.0,1319.0,1395.0648,1356.4022125142187,1300.7934839470645,1422.9059,1414.0480149663863,1349.825716100133,1439.6975,1415.610431646771,1372.1357904826916,1441.697,1403.506863277616,1378.0198923148737,1003.68787,1038.5911494635784,821.1155645527033,1010.994,1069.1285483371769,977.9182960142753,1055.1692,1100.822220486074,1128.431703549144,1052.0194,1052.2128733797094,1100.8200215578129,1109.5149,1099.6231215761627,1147.8278191188324
1262,1,1569887982,1,4,20,1156.7129,1323.6599782746907,1117.9497606084528,0,1,1143.507,1328.1612596563252,1153.6363959025175,1503.0,1388.0,1508.0,1402.0,1422.2031,1419.461431369767,1321.0225263585148,1441.2751,1413.2996595819998,1360.447719712558,1451.3909,1441.2219522961548,1368.833006316227,1448.4371,1439.7127568373608,1393.23528957539,1003.68787,1038.5911494635784,821.099266203033,1010.994,1069.1285483371769,977.9122879043936,1055.1692,1100.822220486074,1128.436586674812,1052.0194,1052.2128733797094,1100.8223045414325,1109.5149,1099.6250840652156,1147.8278191188324
990,1,1569887434,1,4,20,1156.7129,1323.658322593078,1117.9497606084528,0,1,1143.507,1328.160430955783,1153.6363959025175,1451.0,1503.0,1388.0,1508.0,1397.9901,1390.9465047763847,1306.6673696413409,1426.6028,1434.4074998415188,1361.2347902336878,1439.6975,1427.716818645017,1385.8339135205924,1448.5913,1450.1738842719556,1401.5085613721403,1003.68787,1038.5911494635784,821.0780911818147,1010.994,1069.1285483371769,977.9044820923408,1055.1692,1100.822220486074,1128.4429308932013,1052.0194,1052.2128733797094,1100.825270622514,1109.5149,1099.6276337557183,1147.8278191188324
1734,1,1569886364,1,4,20,1156.7129,1323.6550897840907,1117.9497606084528,0,1,1143.507,1328.158812872607,1153.6363959025175,1593.0,1451.0,1503.0,1388.0,1435.3339,1468.8110569030923,1327.7908914678883,1441.2751,1466.371075514112,1377.783739252893,1459.447,1479.5971317718515,1383.941941002262,1453.0093,1467.901249681203,1415.058431956811,1003.68787,1038.5911494635784,821.0466494836583,1010.994,1069.1285483371769,977.8928916441436,1055.1692,1100.822220486074,1128.4523510962645,1052.0194,1052.2128733797094,1100.8296748035136,1109.5149,1099.6314196597968,1147.8278191188324
1131,1,1569886044,1,4,20,1156.7129,1323.654122962712,1117.9497606084528,0,1,1143.507,1328.1583289598818,1153.6363959025175,1359.0,1593.0,1451.0,1503.0,1381.1506,1332.2040538146125,1315.6785366791933,1435.2858,1426.2407853930438,1381.3787116272872,1441.0305,1434.2744331023716,1378.1101359557958,1448.7207,1451.3930610329785,1400.1727932672688,1003.68787,1038.5911494635784,821.035570028107,1010.994,1069.1285483371769,977.8888073909692,1055.1692,1100.822220486074,1128.4556705963878,1052.0194,1052.2128733797094,1100.8312267530073,1109.5149,1099.6327537402822,1147.8278191188324
1127,1,1569885024,1,4,20,1156.7129,1323.6510412195648,1117.9497606084528,0,1,1143.507,1328.1567864880692,1153.6363959025175,1778.0,1359.0,1593.0,1451.0,1394.6646,1561.9619789958815,1348.51319836808,1412.0964,1493.0083469439176,1381.097164057757,1470.9774,1520.4241560674143,1423.3186678518384,1481.566,1511.128404127673,1472.912550430194,1003.68787,1038.5911494635784,820.9974977677484,1010.994,1069.1285483371769,977.8747726985966,1055.1692,1100.822220486074,1128.4670773728867,1052.0194,1052.2128733797094,1100.8365597068714,1109.5149,1099.6373380322957,1147.8278191188324
