Sentido,Linha,DuraçãoViagem,TotalGiros,KmPerc,Ini,Fim,dia_semana,hora_dia,dia_ano,mes_ano,turno_dia,TotalGirosMean,DuraçãoViagemMean
1,1120,3240,10,30.64,2018-11-08 10:21:00,2018-11-08 11:15:00,4,10,312,11,2,13.0,3360.0
0,1120,4020,15,31.218,2018-11-08 11:15:00,2018-11-08 12:22:00,4,11,312,11,2,26.0,4410.0
1,1120,3540,13,30.64,2018-11-08 11:28:00,2018-11-08 12:27:00,4,11,312,11,2,26.0,4410.0
0,1120,4740,16,31.218,2018-11-08 12:27:00,2018-11-08 13:46:00,4,12,312,11,2,11.5,4020.0
1,1120,3780,7,30.64,2018-11-08 12:47:00,2018-11-08 13:50:00,4,12,312,11,2,11.5,4020.0
1,1120,3480,10,30.64,2018-11-08 13:39:00,2018-11-08 14:37:00,4,13,312,11,2,14.0,4140.0
0,1120,4740,12,31.218,2018-11-08 13:50:00,2018-11-08 15:09:00,4,13,312,11,2,14.0,4140.0
0,1120,4620,8,31.218,2018-11-08 14:37:00,2018-11-08 15:54:00,4,14,312,11,2,6.0,3780.0
1,1120,3660,23,30.64,2018-11-08 15:57:00,2018-11-08 16:58:00,4,15,312,11,2,39.0,4200.0
1,1120,4920,39,30.64,2018-11-08 16:51:00,2018-11-08 18:13:00,4,16,312,11,2,30.0,4440.0
0,1120,4320,8,31.218,2018-11-08 16:58:00,2018-11-08 18:10:00,4,16,312,11,2,30.0,4440.0
0,1120,4200,9,31.218,2018-11-08 18:13:00,2018-11-08 19:23:00,4,18,312,11,4,16.0,3840.0
1,1120,4800,29,30.64,2018-11-08 18:21:00,2018-11-08 19:41:00,4,18,312,11,4,16.0,3840.0
1,1120,3600,21,30.64,2018-11-08 19:34:00,2018-11-08 20:34:00,4,19,312,11,4,17.0,4500.0
0,1120,3420,18,31.218,2018-11-09 06:10:00,2018-11-09 07:07:00,5,6,313,11,2,27.0,4050.0
0,1120,4320,20,31.218,2018-11-09 06:48:00,2018-11-09 08:00:00,5,6,313,11,2,27.0,4050.0
1,1120,3360,5,30.64,2018-11-09 07:14:00,2018-11-09 08:10:00,5,7,313,11,2,10.0,3660.0
0,1120,4740,27,31.218,2018-11-09 08:10:00,2018-11-09 09:29:00,5,8,313,11,2,12.0,3690.0
1,1120,3180,2,30.64,2018-11-09 08:14:00,2018-11-09 09:07:00,5,8,313,11,2,12.0,3690.0
0,1120,4500,21,31.218,2018-11-09 09:07:00,2018-11-09 10:22:00,5,9,313,11,2,18.0,4680.0
1,1120,3480,14,30.64,2018-11-09 10:22:00,2018-11-09 11:20:00,5,10,313,11,2,10.0,3240.0
0,1120,4560,13,31.218,2018-11-09 11:20:00,2018-11-09 12:36:00,5,11,313,11,2,14.0,3780.0
1,1120,3780,11,30.64,2018-11-09 11:24:00,2018-11-09 12:27:00,5,11,313,11,2,14.0,3780.0
0,1120,4500,11,31.218,2018-11-09 12:27:00,2018-11-09 13:42:00,5,12,313,11,2,11.5,4260.0
1,1120,3840,15,30.64,2018-11-09 12:36:00,2018-11-09 13:40:00,5,12,313,11,2,11.5,4260.0
1,1120,3600,11,30.64,2018-11-09 13:39:00,2018-11-09 14:39:00,5,13,313,11,2,11.0,4110.0
0,1120,4920,14,31.218,2018-11-09 13:40:00,2018-11-09 15:02:00,5,13,313,11,2,11.0,4110.0
0,1120,4740,14,31.218,2018-11-09 14:39:00,2018-11-09 15:58:00,5,14,313,11,2,8.0,4620.0
1,1120,3660,24,30.64,2018-11-09 15:52:00,2018-11-09 16:53:00,5,15,313,11,2,23.0,3660.0
0,1120,3720,14,31.218,2018-11-09 16:53:00,2018-11-09 17:55:00,5,16,313,11,2,23.5,4620.0
1,1120,4080,24,30.64,2018-11-09 16:54:00,2018-11-09 18:02:00,5,16,313,11,2,23.5,4620.0
0,1120,4080,11,31.218,2018-11-09 18:02:00,2018-11-09 19:10:00,5,18,313,11,4,19.0,4500.0
1,1120,4380,19,30.64,2018-11-09 18:23:00,2018-11-09 19:36:00,5,18,313,11,4,19.0,4500.0
1,1120,3600,14,30.64,2018-11-09 19:33:00,2018-11-09 20:33:00,5,19,313,11,4,21.0,3600.0
0,1120,3480,7,31.218,2018-11-10 06:48:00,2018-11-10 07:46:00,6,6,314,11,2,19.0,3870.0
0,1120,3780,9,31.218,2018-11-10 07:30:00,2018-11-10 08:33:00,6,7,314,11,2,5.0,3360.0
1,1120,3300,5,30.64,2018-11-10 08:05:00,2018-11-10 09:00:00,6,8,314,11,2,14.5,3960.0
0,1120,3600,11,31.218,2018-11-10 09:00:00,2018-11-10 10:00:00,6,9,314,11,2,21.0,4500.0
1,1120,2700,0,30.64,2018-11-10 10:04:00,2018-11-10 10:49:00,6,10,314,11,2,14.0,3480.0
0,1120,3060,4,31.218,2018-11-10 10:49:00,2018-11-10 11:40:00,6,10,314,11,2,14.0,3480.0
1,1120,3300,9,30.64,2018-11-10 11:25:00,2018-11-10 12:20:00,6,11,314,11,2,12.0,4170.0
1,1120,3600,8,30.64,2018-11-10 12:44:00,2018-11-10 13:44:00,6,12,314,11,2,13.0,4170.0
0,1120,3840,16,31.218,2018-11-13 06:10:00,2018-11-13 07:14:00,2,6,317,11,2,30.5,4230.0
0,1120,4740,36,31.218,2018-11-13 06:53:00,2018-11-13 08:12:00,2,6,317,11,2,30.5,4230.0
1,1120,3480,4,30.64,2018-11-13 07:11:00,2018-11-13 08:09:00,2,7,317,11,2,7.0,3540.0
0,1120,4500,13,31.218,2018-11-13 08:09:00,2018-11-13 09:24:00,2,8,317,11,2,13.0,3750.0
1,1120,3360,4,30.64,2018-11-13 08:12:00,2018-11-13 09:08:00,2,8,317,11,2,13.0,3750.0
0,1120,4200,7,31.218,2018-11-13 09:08:00,2018-11-13 10:18:00,2,9,317,11,2,16.0,4020.0
1,1120,3780,7,30.64,2018-11-13 10:17:00,2018-11-13 11:20:00,2,10,317,11,2,10.0,3240.0
0,1120,3780,21,31.218,2018-11-13 11:20:00,2018-11-13 12:23:00,2,11,317,11,2,17.0,3720.0
1,1120,3420,12,30.64,2018-11-13 11:27:00,2018-11-13 12:24:00,2,11,317,11,2,17.0,3720.0
0,1120,4800,20,31.218,2018-11-13 12:24:00,2018-11-13 13:44:00,2,12,317,11,2,17.5,4080.0
1,1120,4320,27,30.64,2018-11-13 12:24:00,2018-11-13 13:36:00,2,12,317,11,2,17.5,4080.0
0,1120,4680,18,31.218,2018-11-13 13:36:00,2018-11-13 14:54:00,2,13,317,11,2,15.0,3960.0
1,1120,4860,13,30.64,2018-11-13 13:44:00,2018-11-13 15:05:00,2,13,317,11,2,15.0,3960.0
0,1120,3900,8,31.218,2018-11-13 15:05:00,2018-11-13 16:10:00,2,15,317,11,2,30.0,4080.0
1,1120,3780,27,30.64,2018-11-13 15:51:00,2018-11-13 16:54:00,2,15,317,11,2,30.0,4080.0
1,1120,4380,25,30.64,2018-11-13 16:53:00,2018-11-13 18:06:00,2,16,317,11,2,14.0,4260.0
0,1120,5040,10,31.218,2018-11-13 16:54:00,2018-11-13 18:18:00,2,16,317,11,2,14.0,4260.0
0,1120,4740,8,31.218,2018-11-13 18:06:00,2018-11-13 19:25:00,2,18,317,11,4,14.0,3900.0
1,1120,4140,30,30.64,2018-11-13 18:37:00,2018-11-13 19:46:00,2,18,317,11,4,14.0,3900.0
1,1120,4260,29,30.64,2018-11-13 19:34:00,2018-11-13 20:45:00,2,19,317,11,4,16.0,3300.0
0,1120,3840,19,31.218,2018-11-14 06:11:00,2018-11-14 07:15:00,3,6,318,11,2,26.0,4290.0
0,1120,4560,33,31.218,2018-11-14 06:44:00,2018-11-14 08:00:00,3,6,318,11,2,26.0,4290.0
1,1120,3240,1,30.64,2018-11-14 07:18:00,2018-11-14 08:12:00,3,7,318,11,2,4.0,3480.0
0,1120,4200,17,31.218,2018-11-14 08:12:00,2018-11-14 09:22:00,3,8,318,11,2,8.5,3930.0
1,1120,3300,7,30.64,2018-11-14 08:13:00,2018-11-14 09:08:00,3,8,318,11,2,8.5,3930.0
0,1120,4740,32,31.218,2018-11-14 09:08:00,2018-11-14 10:27:00,3,9,318,11,2,7.0,4200.0
1,1120,3240,8,30.64,2018-11-14 10:19:00,2018-11-14 11:13:00,3,10,318,11,2,7.0,3780.0
