Teste,Rota,Modelo,Métrica,Valor
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,RF,Tempo de treino,1.19103
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,RF,Tempo de predição,0.98
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,LR,RRSE,0.9394678270916322
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,LR,MAPE,0.1536069631110091
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,LR,Tempo de treino,0.2001
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, qtdDiasAno]",SP - 33642,LR,Tempo de predição,0.1031
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,XGB,RRSE,0.8556287552121487
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,XGB,MAPE,0.13301226645442676
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,XGB,Tempo de treino,1.63999
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,XGB,Tempo de predição,0.4998
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,RF,RRSE,0.856339728685264
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,RF,MAPE,0.1336022366116022
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,RF,Tempo de treino,0.951027
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,RF,Tempo de predição,0.83586
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,LR,RRSE,0.9445360339590889
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,LR,MAPE,0.15577608218578312
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,LR,Tempo de treino,0.2001
"1 Teste de Colunas - [dia_semana, tipo_dia, turno_dia, qtdDiasAno]",SP - 33642,LR,Tempo de predição,0.1
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,XGB,RRSE,0.7045390961740358
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,XGB,MAPE,0.1089004995465251
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,XGB,Tempo de treino,1.490968
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,XGB,Tempo de predição,0.5969
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,RF,RRSE,0.7101222923581062
"1 Teste de Colunas - [dia_semana, tipo_dia, hora_dia, partidaTimeStamp]",SP - 33642,RF,MAPE,0.10617405106869456
