data_partida,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno,Precipitacao,Temperatura,Chuva,Calor,tempo_viagem_1,tempo_viagem_2,tempo_viagem_3,tempo_viagem_4,tempo_viagem_5
2019-07-01 08:12:00,1560,1561968720,1,1,8,2,182,0.0,19.4,0,1,1680.0,1440.0,1560.0,1380.0,1680.0
2019-07-01 08:14:00,1560,1561968840,1,1,8,2,182,0.0,19.4,0,1,1560.0,1680.0,1440.0,1560.0,1380.0
2019-07-01 08:17:00,1260,1561969020,1,1,8,2,182,0.0,19.4,0,1,1560.0,1560.0,1680.0,1440.0,1560.0
2019-07-01 08:22:00,1500,1561969320,1,1,8,2,182,0.0,19.4,0,1,1260.0,1560.0,1560.0,1680.0,1440.0
2019-07-01 08:26:00,1440,1561969560,1,1,8,2,182,0.0,19.4,0,1,1500.0,1260.0,1560.0,1560.0,1680.0
2019-07-01 08:35:00,1440,1561970100,1,1,8,2,182,0.0,20.4,0,1,1440.0,1500.0,1260.0,1560.0,1560.0
2019-07-01 08:35:00,1560,1561970100,1,1,8,2,182,0.0,20.4,0,1,1440.0,1440.0,1500.0,1260.0,1560.0
2019-07-01 08:39:00,2160,1561970340,1,1,8,2,182,0.0,20.4,0,1,1560.0,1440.0,1440.0,1500.0,1260.0
2019-07-01 08:40:00,1620,1561970400,1,1,8,2,182,0.0,20.4,0,1,2160.0,1560.0,1440.0,1440.0,1500.0
2019-07-01 08:50:00,1980,1561971000,1,1,8,2,182,0.0,20.4,0,1,1620.0,2160.0,1560.0,1440.0,1440.0
2019-07-01 08:52:00,1200,1561971120,1,1,8,2,182,0.0,20.4,0,1,1980.0,1620.0,2160.0,1560.0,1440.0
2019-07-01 08:54:00,1500,1561971240,1,1,8,2,182,0.0,20.4,0,1,1200.0,1980.0,1620.0,2160.0,1560.0
2019-07-01 09:01:00,1980,1561971660,1,1,9,2,182,0.0,20.4,0,1,1500.0,1200.0,1980.0,1620.0,2160.0
2019-07-01 09:13:00,1320,1561972380,1,1,9,2,182,0.0,20.4,0,1,1980.0,1500.0,1200.0,1980.0,1620.0
2019-07-01 09:16:00,1620,1561972560,1,1,9,2,182,0.0,20.4,0,1,1320.0,1980.0,1500.0,1200.0,1980.0
2019-07-01 09:17:00,1500,1561972620,1,1,9,2,182,0.0,20.4,0,1,1620.0,1320.0,1980.0,1500.0,1200.0
2019-07-01 09:19:00,1980,1561972740,1,1,9,2,182,0.0,20.4,0,1,1500.0,1620.0,1320.0,1980.0,1500.0
2019-07-01 09:23:00,3660,1561972980,1,1,9,2,182,0.0,20.4,0,1,1980.0,1500.0,1620.0,1320.0,1980.0
2019-07-01 09:34:00,360,1561973640,1,1,9,2,182,0.0,21.65,0,1,3660.0,1980.0,1500.0,1620.0,1320.0
2019-07-01 09:40:00,1380,1561974000,1,1,9,2,182,0.0,21.65,0,1,360.0,3660.0,1980.0,1500.0,1620.0
2019-07-01 09:41:00,1560,1561974060,1,1,9,2,182,0.0,21.65,0,1,1380.0,360.0,3660.0,1980.0,1500.0
2019-07-01 09:43:00,1860,1561974180,1,1,9,2,182,0.0,21.65,0,1,1560.0,1380.0,360.0,3660.0,1980.0
2019-07-01 09:49:00,1620,1561974540,1,1,9,2,182,0.0,21.65,0,1,1860.0,1560.0,1380.0,360.0,3660.0
2019-07-01 09:54:00,2580,1561974840,1,1,9,2,182,0.0,21.65,0,1,1620.0,1860.0,1560.0,1380.0,360.0
2019-07-01 10:06:00,1380,1561975560,1,1,10,2,182,0.0,21.65,0,1,2580.0,1620.0,1860.0,1560.0,1380.0
2019-07-01 10:07:00,2160,1561975620,1,1,10,2,182,0.0,21.65,0,1,1380.0,2580.0,1620.0,1860.0,1560.0
2019-07-01 10:18:00,1800,1561976280,1,1,10,2,182,0.0,21.65,0,1,2160.0,1380.0,2580.0,1620.0,1860.0
2019-07-01 10:29:00,2040,1561976940,1,1,10,2,182,0.0,21.65,0,1,1800.0,2160.0,1380.0,2580.0,1620.0
2019-07-01 10:36:00,1140,1561977360,1,1,10,2,182,0.0,23.0,0,1,2040.0,1800.0,2160.0,1380.0,2580.0
2019-07-01 10:37:00,1680,1561977420,1,1,10,2,182,0.0,23.0,0,1,1140.0,2040.0,1800.0,2160.0,1380.0
2019-07-01 10:49:00,1680,1561978140,1,1,10,2,182,0.0,23.0,0,1,1680.0,1140.0,2040.0,1800.0,2160.0
2019-07-01 10:55:00,1320,1561978500,1,1,10,2,182,0.0,23.0,0,1,1680.0,1680.0,1140.0,2040.0,1800.0
2019-07-01 11:04:00,2100,1561979040,1,1,11,2,182,0.0,23.0,0,1,1320.0,1680.0,1680.0,1140.0,2040.0
2019-07-01 11:05:00,2040,1561979100,1,1,11,2,182,0.0,23.0,0,1,2100.0,1320.0,1680.0,1680.0,1140.0
2019-07-01 11:11:00,1620,1561979460,1,1,11,2,182,0.0,23.0,0,1,2040.0,2100.0,1320.0,1680.0,1680.0
2019-07-01 11:17:00,1980,1561979820,1,1,11,2,182,0.0,23.0,0,1,1620.0,2040.0,2100.0,1320.0,1680.0
2019-07-01 11:28:00,1620,1561980480,1,1,11,2,182,0.0,23.0,0,1,1980.0,1620.0,2040.0,2100.0,1320.0
2019-07-01 11:33:00,1800,1561980780,1,1,11,2,182,0.0,23.75,0,1,1620.0,1980.0,1620.0,2040.0,2100.0
2019-07-01 11:38:00,1260,1561981080,1,1,11,2,182,0.0,23.75,0,1,1800.0,1620.0,1980.0,1620.0,2040.0
2019-07-01 11:38:00,0,1561981080,1,1,11,2,182,0.0,23.75,0,1,1260.0,1800.0,1620.0,1980.0,1620.0
2019-07-01 11:39:00,2100,1561981140,1,1,11,2,182,0.0,23.75,0,1,0.0,1260.0,1800.0,1620.0,1980.0
2019-07-01 11:40:00,2100,1561981200,1,1,11,2,182,0.0,23.75,0,1,2100.0,0.0,1260.0,1800.0,1620.0
2019-07-01 11:50:00,4140,1561981800,1,1,11,2,182,0.0,23.75,0,1,2100.0,2100.0,0.0,1260.0,1800.0
2019-07-01 11:53:00,1620,1561981980,1,1,11,2,182,0.0,23.75,0,1,4140.0,2100.0,2100.0,0.0,1260.0
2019-07-01 12:04:00,1080,1561982640,1,1,12,2,182,0.0,23.75,0,1,1620.0,4140.0,2100.0,2100.0,0.0
2019-07-01 12:08:00,1500,1561982880,1,1,12,2,182,0.0,23.75,0,1,1080.0,1620.0,4140.0,2100.0,2100.0
2019-07-01 12:10:00,1800,1561983000,1,1,12,2,182,0.0,23.75,0,1,1500.0,1080.0,1620.0,4140.0,2100.0
2019-07-01 12:12:00,1440,1561983120,1,1,12,2,182,0.0,23.75,0,1,1800.0,1500.0,1080.0,1620.0,4140.0
2019-07-01 12:15:00,2340,1561983300,1,1,12,2,182,0.0,23.75,0,1,1440.0,1800.0,1500.0,1080.0,1620.0
2019-07-01 12:19:00,1080,1561983540,1,1,12,2,182,0.0,23.75,0,1,2340.0,1440.0,1800.0,1500.0,1080.0
2019-07-01 12:21:00,2100,1561983660,1,1,12,2,182,0.0,23.75,0,1,1080.0,2340.0,1440.0,1800.0,1500.0
2019-07-01 12:23:00,1260,1561983780,1,1,12,2,182,0.0,23.75,0,1,2100.0,1080.0,2340.0,1440.0,1800.0
2019-07-01 12:29:00,1860,1561984140,1,1,12,2,182,0.0,23.75,0,1,1260.0,2100.0,1080.0,2340.0,1440.0
2019-07-01 12:35:00,1860,1561984500,1,1,12,2,182,0.0,24.6,0,1,1860.0,1260.0,2100.0,1080.0,2340.0
2019-07-01 12:36:00,1920,1561984560,1,1,12,2,182,0.0,24.6,0,1,1860.0,1860.0,1260.0,2100.0,1080.0
