data_partida,DataFimm,tempo_viagem,partidaTimeStamp,dia_semana,tipo_dia,hora_dia,turno_dia,qtdDiasAno
2019-04-30 05:59:00,2019-04-30 06:16:00,1020,1556603940,2,1,5,2,120
2019-04-30 06:31:00,2019-04-30 06:52:00,1260,1556605860,2,1,6,2,120
2019-04-30 07:00:00,2019-04-30 07:17:00,1020,1556607600,2,1,7,2,120
2019-04-30 09:26:00,2019-04-30 09:40:00,840,1556616360,2,1,9,2,120
2019-04-30 10:54:00,2019-04-30 11:08:00,840,1556621640,2,1,10,2,120
2019-04-30 12:18:00,2019-04-30 12:34:00,960,1556626680,2,1,12,2,120
2019-04-30 12:46:00,2019-04-30 12:59:00,780,1556628360,2,1,12,2,120
2019-04-30 13:06:00,2019-04-30 13:23:00,1020,1556629560,2,1,13,2,120
2019-04-30 13:56:00,2019-04-30 14:10:00,840,1556632560,2,1,13,2,120
2019-04-30 14:56:00,2019-04-30 15:10:00,840,1556636160,2,1,14,2,120
2019-04-30 16:08:00,2019-04-30 16:25:00,1020,1556640480,2,1,16,2,120
2019-04-30 17:00:00,2019-04-30 17:16:00,960,1556643600,2,1,17,2,120
2019-04-30 17:23:00,2019-04-30 17:38:00,900,1556644980,2,1,17,2,120
2019-04-30 17:52:00,2019-04-30 18:06:00,840,1556646720,2,1,17,2,120
2019-04-30 18:05:00,2019-04-30 18:19:00,840,1556647500,2,1,18,4,120
2019-04-30 18:32:00,2019-04-30 18:46:00,840,1556649120,2,1,18,4,120
2019-04-30 18:58:00,2019-04-30 19:09:00,660,1556650680,2,1,18,4,120
2019-04-30 19:33:00,2019-04-30 19:43:00,600,1556652780,2,1,19,4,120
2019-04-30 20:26:00,2019-04-30 20:37:00,660,1556655960,2,1,20,4,120
2019-04-30 20:59:00,2019-04-30 21:10:00,660,1556657940,2,1,20,4,120
2019-04-30 21:55:00,2019-04-30 22:05:00,600,1556661300,2,1,21,4,120
2019-04-30 22:46:00,2019-04-30 22:57:00,660,1556664360,2,1,22,4,120
2019-04-30 23:14:00,2019-04-30 23:25:00,660,1556666040,2,1,23,4,120
2019-04-30 23:46:00,2019-04-30 23:57:00,660,1556667960,2,1,23,4,120
2019-04-30 11:51:00,2019-04-30 12:09:00,1080,1556625060,2,1,11,2,120
2019-04-29 07:54:00,2019-04-29 08:11:00,1020,1556524440,1,1,7,2,119
2019-04-29 08:34:00,2019-04-29 08:52:00,1080,1556526840,1,1,8,2,119
2019-04-29 09:26:00,2019-04-29 09:39:00,780,1556529960,1,1,9,2,119
2019-04-29 11:39:00,2019-04-29 11:56:00,1020,1556537940,1,1,11,2,119
2019-04-29 12:01:00,2019-04-29 12:16:00,900,1556539260,1,1,12,2,119
2019-04-29 12:46:00,2019-04-29 13:01:00,900,1556541960,1,1,12,2,119
2019-04-29 13:54:00,2019-04-29 14:11:00,1020,1556546040,1,1,13,2,119
2019-04-29 14:57:00,2019-04-29 15:13:00,960,1556549820,1,1,14,2,119
2019-04-29 16:08:00,2019-04-29 16:23:00,900,1556554080,1,1,16,2,119
2019-04-29 17:53:00,2019-04-29 18:07:00,840,1556560380,1,1,17,2,119
2019-04-29 18:35:00,2019-04-29 18:47:00,720,1556562900,1,1,18,4,119
2019-04-29 18:59:00,2019-04-29 19:10:00,660,1556564340,1,1,18,4,119
2019-04-29 19:30:00,2019-04-29 19:41:00,660,1556566200,1,1,19,4,119
2019-04-29 19:56:00,2019-04-29 20:08:00,720,1556567760,1,1,19,4,119
2019-04-29 20:25:00,2019-04-29 20:37:00,720,1556569500,1,1,20,4,119
2019-04-29 20:59:00,2019-04-29 21:08:00,540,1556571540,1,1,20,4,119
2019-04-29 22:43:00,2019-04-29 22:54:00,660,1556577780,1,1,22,4,119
2019-04-29 23:44:00,2019-04-29 23:54:00,600,1556581440,1,1,23,4,119
2019-04-29 07:27:00,2019-04-29 07:45:00,1080,1556522820,1,1,7,2,119
2019-04-28 06:31:00,2019-04-28 06:41:00,600,1556433060,7,1,6,2,118
2019-04-28 07:47:00,2019-04-28 07:59:00,720,1556437620,7,1,7,2,118
2019-04-28 09:12:00,2019-04-28 09:25:00,780,1556442720,7,1,9,2,118
2019-04-28 12:13:00,2019-04-28 12:25:00,720,1556453580,7,1,12,2,118
2019-04-28 15:57:00,2019-04-28 16:12:00,900,1556467020,7,1,15,2,118
2019-04-28 17:33:00,2019-04-28 17:47:00,840,1556472780,7,1,17,2,118
2019-04-28 19:02:00,2019-04-28 19:16:00,840,1556478120,7,1,19,4,118
2019-04-28 20:44:00,2019-04-28 21:00:00,960,1556484240,7,1,20,4,118
2019-04-27 05:29:00,2019-04-27 05:41:00,720,1556342940,6,1,5,2,117
2019-04-27 06:00:00,2019-04-27 06:15:00,900,1556344800,6,1,6,2,117
2019-04-27 06:37:00,2019-04-27 06:54:00,1020,1556347020,6,1,6,2,117
2019-04-27 07:21:00,2019-04-27 07:35:00,840,1556349660,6,1,7,2,117
2019-04-27 08:04:00,2019-04-27 08:18:00,840,1556352240,6,1,8,2,117
