,DataIni,HoraIni,DataFim,HoraFim,Sentido,Linha,NoVeículo,DuraçãoViagem,TotalGiros,KmPerc,Segundos
93183,1556582400000,05:11:00,1556582400000,05:27:00,Ida,277,1469,00:16:00,18,6.927,960.0
93185,1556582400000,05:47:00,1556582400000,06:05:00,Ida,277,1469,00:18:00,35,6.927,1080.0
93187,1556582400000,06:23:00,1556582400000,06:43:00,Ida,277,1537,00:20:00,46,6.927,1200.0
93188,1556582400000,06:36:00,1556582400000,06:55:00,Ida,277,11655,00:19:00,27,6.927,1140.0
93189,1556582400000,06:53:00,1556582400000,07:14:00,Ida,277,1473,00:21:00,21,6.927,1260.0
93191,1556582400000,07:15:00,1556582400000,07:38:00,Ida,277,1565,00:23:00,62,6.927,1380.0
93192,1556582400000,07:57:00,1556582400000,08:19:00,Ida,277,1469,00:22:00,26,6.927,1320.0
93193,1556582400000,08:22:00,1556582400000,08:40:00,Ida,277,1541,00:18:00,11,6.927,1080.0
93194,1556582400000,09:26:00,1556582400000,09:46:00,Ida,277,1533,00:20:00,26,6.927,1200.0
93195,1556582400000,10:05:00,1556582400000,10:24:00,Ida,277,1567,00:19:00,35,6.927,1140.0
93198,1556582400000,11:54:00,1556582400000,12:15:00,Ida,277,1505,00:21:00,39,6.927,1260.0
93199,1556582400000,12:18:00,1556582400000,12:38:00,Ida,277,1463,00:20:00,48,6.927,1200.0
93200,1556582400000,12:40:00,1556582400000,13:00:00,Ida,277,1523,00:20:00,22,6.927,1200.0
93201,1556582400000,13:16:00,1556582400000,13:37:00,Ida,277,1533,00:21:00,19,6.927,1260.0
93202,1556582400000,13:46:00,1556582400000,14:04:00,Ida,277,11635,00:18:00,16,6.927,1080.0
93203,1556582400000,14:24:00,1556582400000,14:45:00,Ida,277,11653,00:21:00,36,6.927,1260.0
93204,1556582400000,15:04:00,1556582400000,15:25:00,Ida,277,1427,00:21:00,35,6.927,1260.0
93207,1556582400000,16:28:00,1556582400000,16:48:00,Ida,277,1521,00:20:00,25,6.927,1200.0
93208,1556582400000,16:55:00,1556582400000,17:16:00,Ida,277,11617,00:21:00,33,6.927,1260.0
93209,1556582400000,17:28:00,1556582400000,17:51:00,Ida,277,1521,00:23:00,22,6.927,1380.0
93210,1556582400000,17:46:00,1556582400000,18:10:00,Ida,277,11571,00:24:00,32,6.927,1440.0
93211,1556582400000,18:26:00,1556582400000,18:46:00,Ida,277,1487,00:20:00,14,6.927,1200.0
93212,1556582400000,18:50:00,1556582400000,19:07:00,Ida,277,1527,00:17:00,6,6.927,1020.0
93213,1556582400000,19:11:00,1556582400000,19:27:00,Ida,277,11633,00:16:00,10,6.927,960.0
93214,1556582400000,20:26:00,1556582400000,20:41:00,Ida,277,11677,00:15:00,4,6.927,900.0
93215,1556582400000,21:47:00,1556582400000,22:02:00,Ida,277,11661,00:15:00,6,6.927,900.0
93216,1556496000000,05:10:00,1556496000000,05:25:00,Ida,277,1467,00:15:00,8,6.927,900.0
93217,1556496000000,05:33:00,1556496000000,05:50:00,Ida,277,1505,00:17:00,17,6.927,1020.0
93218,1556496000000,05:47:00,1556496000000,06:05:00,Ida,277,1467,00:18:00,41,6.927,1080.0
93219,1556496000000,06:06:00,1556496000000,06:29:00,Ida,277,1505,00:23:00,58,6.927,1380.0
93220,1556496000000,06:48:00,1556496000000,07:05:00,Ida,277,11653,00:17:00,23,6.927,1020.0
93223,1556496000000,06:24:00,1556496000000,06:46:00,Ida,277,1537,00:22:00,72,6.927,1320.0
93224,1556496000000,06:36:00,1556496000000,06:53:00,Ida,277,11655,00:17:00,16,6.927,1020.0
93225,1556496000000,07:04:00,1556496000000,07:25:00,Ida,277,1533,00:21:00,35,6.927,1260.0
93226,1556496000000,08:18:00,1556496000000,08:39:00,Ida,277,1469,00:21:00,9,6.927,1260.0
93227,1556496000000,09:26:00,1556496000000,09:49:00,Ida,277,1533,00:23:00,35,6.927,1380.0
93228,1556496000000,10:03:00,1556496000000,10:22:00,Ida,277,1567,00:19:00,31,6.927,1140.0
93229,1556496000000,10:46:00,1556496000000,11:07:00,Ida,277,1521,00:21:00,23,6.927,1260.0
93230,1556496000000,11:23:00,1556496000000,11:45:00,Ida,277,1521,00:22:00,54,6.927,1320.0
93231,1556496000000,11:56:00,1556496000000,12:20:00,Ida,277,1421,00:24:00,61,6.927,1440.0
93233,1556496000000,12:40:00,1556496000000,12:58:00,Ida,277,1523,00:18:00,17,6.927,1080.0
93234,1556496000000,13:17:00,1556496000000,13:35:00,Ida,277,1533,00:18:00,13,6.927,1080.0
93235,1556496000000,13:47:00,1556496000000,14:06:00,Ida,277,11635,00:19:00,31,6.927,1140.0
93236,1556496000000,14:24:00,1556496000000,14:43:00,Ida,277,1419,00:19:00,35,6.927,1140.0
93237,1556496000000,15:07:00,1556496000000,15:27:00,Ida,277,1465,00:20:00,35,6.927,1200.0
93238,1556496000000,15:45:00,1556496000000,16:10:00,Ida,277,1465,00:25:00,38,6.927,1500.0
93239,1556496000000,16:29:00,1556496000000,16:51:00,Ida,277,1521,00:22:00,28,6.927,1320.0
93241,1556496000000,17:27:00,1556496000000,17:46:00,Ida,277,1521,00:19:00,19,6.927,1140.0
93242,1556496000000,17:52:00,1556496000000,18:13:00,Ida,277,11571,00:21:00,35,6.927,1260.0
93243,1556496000000,18:29:00,1556496000000,18:47:00,Ida,277,1527,00:18:00,12,6.927,1080.0
93244,1556496000000,18:52:00,1556496000000,19:10:00,Ida,277,11593,00:18:00,8,6.927,1080.0
93245,1556496000000,19:06:00,1556496000000,19:23:00,Ida,277,1485,00:17:00,11,6.927,1020.0
93246,1556496000000,20:26:00,1556496000000,20:42:00,Ida,277,11637,00:16:00,12,6.927,960.0
93247,1556496000000,21:47:00,1556496000000,22:02:00,Ida,277,11661,00:15:00,9,6.927,900.0
93248,1556409600000,05:11:00,1556409600000,05:26:00,Ida,277,11675,00:15:00,2,6.927,900.0
93249,1556409600000,05:47:00,1556409600000,06:01:00,Ida,277,11679,00:14:00,8,6.927,840.0
93250,1556409600000,06:34:00,1556409600000,06:49:00,Ida,277,11621,00:15:00,2,6.927,900.0
93253,1556409600000,09:33:00,1556409600000,09:50:00,Ida,277,11623,00:17:00,6,6.927,1020.0
93255,1556409600000,11:57:00,1556409600000,12:13:00,Ida,277,11669,00:16:00,15,6.927,960.0
93256,1556409600000,12:49:00,1556409600000,13:06:00,Ida,277,11671,00:17:00,19,6.927,1020.0
93257,1556409600000,13:40:00,1556409600000,13:55:00,Ida,277,11657,00:15:00,8,6.927,900.0
93258,1556409600000,14:54:00,1556409600000,15:11:00,Ida,277,11657,00:17:00,12,6.927,1020.0
93259,1556409600000,15:49:00,1556409600000,16:04:00,Ida,277,11661,00:15:00,15,6.927,900.0
93260,1556409600000,16:30:00,1556409600000,16:47:00,Ida,277,11657,00:17:00,16,6.927,1020.0
93261,1556409600000,17:05:00,1556409600000,17:22:00,Ida,277,11621,00:17:00,8,6.927,1020.0
93262,1556409600000,18:12:00,1556409600000,18:32:00,Ida,277,11671,00:20:00,11,6.927,1200.0
93263,1556409600000,18:44:00,1556409600000,18:57:00,Ida,277,11661,00:13:00,4,6.927,780.0
93264,1556409600000,19:35:00,1556409600000,19:51:00,Ida,277,11673,00:16:00,6,6.927,960.0
93265,1556409600000,20:10:00,1556409600000,20:26:00,Ida,277,11659,00:16:00,9,6.927,960.0
93266,1556323200000,05:15:00,1556323200000,05:27:00,Ida,277,1527,00:12:00,2,6.927,720.0
93267,1556323200000,05:53:00,1556323200000,06:08:00,Ida,277,1505,00:15:00,14,6.927,900.0
93268,1556323200000,06:34:00,1556323200000,06:49:00,Ida,277,1557,00:15:00,7,6.927,900.0
93269,1556323200000,07:06:00,1556323200000,07:23:00,Ida,277,11651,00:17:00,12,6.927,1020.0
93270,1556323200000,07:54:00,1556323200000,08:09:00,Ida,277,11657,00:15:00,5,6.927,900.0
93271,1556323200000,08:34:00,1556323200000,08:51:00,Ida,277,11657,00:17:00,33,6.927,1020.0
93272,1556323200000,09:20:00,1556323200000,09:38:00,Ida,277,1505,00:18:00,17,6.927,1080.0
93273,1556323200000,10:26:00,1556323200000,10:45:00,Ida,277,11635,00:19:00,26,6.927,1140.0
93274,1556323200000,11:25:00,1556323200000,11:45:00,Ida,277,1567,00:20:00,27,6.927,1200.0
93275,1556323200000,12:23:00,1556323200000,12:44:00,Ida,277,11649,00:21:00,36,6.927,1260.0
93276,1556323200000,12:54:00,1556323200000,13:10:00,Ida,277,11639,00:16:00,13,6.927,960.0
93277,1556323200000,13:35:00,1556323200000,13:54:00,Ida,277,11639,00:19:00,24,6.927,1140.0
93278,1556323200000,14:28:00,1556323200000,14:47:00,Ida,277,1495,00:19:00,22,6.927,1140.0
93279,1556323200000,15:08:00,1556323200000,15:25:00,Ida,277,11643,00:17:00,7,6.927,1020.0
93280,1556323200000,17:07:00,1556323200000,17:25:00,Ida,277,1567,00:18:00,13,6.927,1080.0
93281,1556323200000,19:12:00,1556323200000,19:31:00,Ida,277,1527,00:19:00,12,6.927,1140.0
93284,1556236800000,05:11:00,1556236800000,05:26:00,Ida,277,1467,00:15:00,16,6.927,900.0
93285,1556236800000,05:33:00,1556236800000,05:51:00,Ida,277,1465,00:18:00,20,6.927,1080.0
93286,1556236800000,05:47:00,1556236800000,06:04:00,Ida,277,1467,00:17:00,26,6.927,1020.0
93287,1556236800000,06:06:00,1556236800000,06:24:00,Ida,277,1465,00:18:00,24,6.927,1080.0
93288,1556236800000,06:24:00,1556236800000,06:43:00,Ida,277,1537,00:19:00,37,6.927,1140.0
93289,1556236800000,06:38:00,1556236800000,06:55:00,Ida,277,11655,00:17:00,31,6.927,1020.0
